a,o,action
http://example.org/virtualhome2kg/instance/carry_box_scene1,http://example.org/virtualhome2kg/instance/box194_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/clean_desk_scene1,http://example.org/virtualhome2kg/instance/mug196_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/prepare_sitting_scene1,http://example.org/virtualhome2kg/instance/clothespile287_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/take_off_clock_scene1,http://example.org/virtualhome2kg/instance/clock266_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/wash_clothes_scene1,http://example.org/virtualhome2kg/instance/clothespile287_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/wash_pillow_scene1,http://example.org/virtualhome2kg/instance/pillow423_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/brush_teeth_scene1,http://example.org/virtualhome2kg/instance/toothbrush66_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/cook_food_scene1,http://example.org/virtualhome2kg/instance/fryingpan270_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/eat_bread_scene1,http://example.org/virtualhome2kg/instance/breadslice310_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/prepare_breakfast_scene1,http://example.org/virtualhome2kg/instance/breadslice310_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/prepare_dinner_scene1,http://example.org/virtualhome2kg/instance/condimentshaker297_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/prepare_go_out_scene1,http://example.org/virtualhome2kg/instance/clothespile150_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/read_book_scene1,http://example.org/virtualhome2kg/instance/book192_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/throw_in_the_garbage_scene1,http://example.org/virtualhome2kg/instance/paper303_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/use_smartphone_scene1,http://example.org/virtualhome2kg/instance/cellphone190_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/wash_fry_pan_scene1,http://example.org/virtualhome2kg/instance/fryingpan270_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/relax_on_sofa_scene1,http://example.org/virtualhome2kg/instance/pillow422_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/wash_hands_scene1,http://example.org/virtualhome2kg/instance/towel56_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/cook_food_scene1,http://example.org/virtualhome2kg/instance/salmon328_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/cook_some_food_scene1,http://example.org/virtualhome2kg/instance/salmon328_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/prepare_dinner_scene1,http://example.org/virtualhome2kg/instance/condimentbottle295_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/prepare_go_out_scene1,http://example.org/virtualhome2kg/instance/clothespants133_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/wash_fry_pan_scene1,http://example.org/virtualhome2kg/instance/washingsponge267_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/put_food_in_fridge_scene1,http://example.org/virtualhome2kg/instance/salmon328_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/clean_fridge_scene1,http://example.org/virtualhome2kg/instance/dishwashingliquid268_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/clean_fridge_scene1,http://example.org/virtualhome2kg/instance/towel54_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/clean_fridge_scene1,http://example.org/virtualhome2kg/instance/potato455_scene1,http://example.org/virtualhome2kg/ontology/action/grab
http://example.org/virtualhome2kg/instance/clean_kitchen_table_scene1,http://example.org/virtualhome2kg/instance/towel54_scene1,http://example.org/virtualhome2kg/ontology/action/grab
